SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
31,3,2,2,2,3,2,2,2,2,1,5,4,4,3,1,5,3,4,4,3,2,3,3,5,2,4,3,2,2,4,5,3,4,3,4,2,3,Non-Northeast,2,2,Private,,,,26,,1,2.86,3.33,3.10,1,1,2.74,2.99,,,,,,,,,,,,,,,,,
32,3,3,2,1,1,2,2,2,3,1,5,3,4,4,1,4,3,4,5,5,1,2,5,4,3,4,3,2,3,3,5,4,3,3,4,2,3,Northeast,2,2,Private,720,710,1430,,,1,1.45,2.00,1.68,1,1,2.67,2.30,,,,,,,,,,,,,,,,,
33,2,2,2,2,3,1,2,2,3,1,5,5,4,4,1,5,5,3,5,5,1,1,5,3,3,4,1,2,1,4,5,5,3,1,5,2,3,Northeast,2,3,Public,590,800,1390,,,1,2.67,2.67,2.67,1,1,0.81,2.11,,,,,,,,,,,,,,,,,
34,4,3,2,1,1,1,1,1,1,1,5,4,3,4,1,5,1,3,3,3,3,4,5,5,2,5,4,1,1,2,5,5,4,2,3,2,3,Non-Northeast,2,2,Public,,,,25,,0,1.49,,1.49,,,0.00,1.49,,,,,,,,,,,,,,,,,
35,2,1,5,3,2,4,4,4,3,2,4,1,4,3,1,5,3,3,3,3,1,2,5,3,3,3,4,1,1,4,5,4,2,3,4,1,3,Northeast,2,3,Public,,,,31,,1,2.09,3.58,2.83,1,1,2.83,3.13,,,,,,,,,,,,,,,,,
36,2,2,1,2,2,2,3,2,2,3,5,3,4,4,1,4,2,5,4,5,1,2,5,5,3,5,4,2,2,5,4,3,2,2,2,2,3,Non-Northeast,2,2,Parochial,,,,30,,1,1.75,1.00,1.43,1,,0.00,1.43,,,,,,,,,,,,,,,,,
37,1,1,1,1,1,1,1,1,1,1,1,5,3,5,1,5,3,5,5,5,1,2,5,5,4,5,5,5,5,2,5,4,5,2,5,2,3,Northeast,2,2,Public,690,780,1470,,,1,3.92,3.56,3.72,1,1,3.87,3.78,,,,,,,,,,,,,,,,,
38,2,2,1,3,2,2,3,2,4,2,5,4,3,4,1,4,4,4,4,5,1,2,5,4,3,4,1,3,3,2,4,2,2,3,3,1,3,Northeast,2,6,Public,690,740,1430,,,1,3.92,3.84,3.89,1,1,3.85,3.87,,,,,,,,,,,,,,,,,
39,2,3,2,4,4,3,3,2,4,3,5,2,1,2,2,3,4,1,1,1,1,2,5,3,2,5,2,2,3,5,5,3,2,5,3,2,1,Non-Northeast,2,2,Public,500,800,1300,,,1,3.51,3.05,3.30,1,1,2.63,2.90,,,,,,,,,,,,,,,,,
40,2,2,1,3,3,2,1,1,4,2,5,4,1,2,1,3,2,5,5,5,1,4,3,3,3,4,2,1,1,2,5,4,3,1,4,2,1,Non-Northeast,2,2,Public,570,760,1330,,,1,4.00,3.67,3.84,1,1,4.00,3.90,,,,,,,,,,,,,,,,,
41,2,1,5,4,2,2,4,3,4,2,5,2,4,3,1,3,3,5,3,5,1,1,3,4,3,3,4,4,4,5,3,5,5,2,5,1,3,Northeast,2,2,Public,,,,27,,1,3.09,2.82,2.97,1,1,2.12,2.63,,,,,,,,,,,,,,,,,
42,3,2,2,3,2,1,4,1,2,2,1,5,3,4,1,2,2,5,5,5,1,2,3,3,3,5,4,4,4,3,5,2,5,3,5,2,3,Non-Northeast,2,2,Public,700,800,1500,,,1,3.13,3.33,3.22,1,1,3.09,3.28,,,,,,,,,,,,,,,,,
43,2,2,1,2,2,2,3,2,2,1,5,4,4,3,1,3,1,4,4,4,1,3,5,3,3,4,2,3,4,5,5,3,2,1,5,1,3,Northeast,2,2,Public,690,700,1390,,,1,3.50,3.44,3.47,1,1,3.31,3.43,,,,,,,,,,,,,,,,,
44,2,2,3,3,2,4,2,2,4,2,5,4,4,3,1,4,2,5,5,3,1,2,5,1,3,4,2,1,2,3,4,2,4,3,5,2,3,Non-Northeast,2,2,,730,740,1470,,,1,3.26,3.67,3.38,1,1,3.34,3.48,,,,,,,,,,,,,,,,,
45,1,3,2,2,1,1,3,1,3,1,1,5,4,3,1,5,3,5,5,5,1,1,5,3,3,4,4,3,5,4,5,1,4,2,3,2,3,Northeast,2,2,Public,640,710,1350,,,1,1.88,0.56,1.33,1,,0.00,2.27,,,,,,,,,,,,,,,,,
